Level,Name,Inclusive Samples,Exclusive Samples,% Inclusive,% Exclusive,Details
7,mt_iocp_server_viewoptisector.exe!std::unordered_set<int,std::hash<int>,std::equal_to<int>,std::allocator<int> >::unordered_set<int,std::hash<int>,std::equal_to<int>,std::allocator<int> >,21,0,0.0573770491803279,0,mt_iocp_server_viewOptiSector!std::unordered_set<int,std::hash<int>,std::equal_to<int>,std::allocator<int> >::unordered_set<int,std::hash<int>,std::equal_to<int>,std::allocator<int> >:unordered_set:101
8,mt_iocp_server_viewoptisector.exe!std::_Hash<std::_Uset_traits<int,std::_Uhash_compare<int,std::hash<int>,std::equal_to<int> >,std::allocator<int>,0> >::_Hash<std::_Uset_traits<int,std::_Uhash_compare<int,std::hash<int>,std::equal_to<int> >,std::allocator<int>,0> >,21,0,0.0573770491803279,0,mt_iocp_server_viewOptiSector!std::_Hash<std::_Uset_traits<int,std::_Uhash_compare<int,std::hash<int>,std::equal_to<int> >,std::allocator<int>,0> >::_Hash<std::_Uset_traits<int,std::_Uhash_compare<int,std::hash<int>,std::equal_to<int> >,std::allocator<int>,0> >:xhash:391
9,mt_iocp_server_viewoptisector.exe!std::list<int,std::allocator<int> >::list<int,std::allocator<int> >,14,0,0.0382513661202186,0,mt_iocp_server_viewOptiSector!std::list<int,std::allocator<int> >::list<int,std::allocator<int> >:list:808
10,mt_iocp_server_viewoptisector.exe!std::list<int,std::allocator<int> >::_Alloc_sentinel_and_proxy,13,0,0.0355191256830601,0,mt_iocp_server_viewOptiSector!std::list<int,std::allocator<int> >::_Alloc_sentinel_and_proxy:list:1771
7,mt_iocp_server_viewoptisector.exe!std::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >::~unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >,9,0,0.0245901639344262,0,mt_iocp_server_viewOptiSector!std::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >::~unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >
8,mt_iocp_server_viewoptisector.exe!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::~_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >,9,0,0.0245901639344262,0,mt_iocp_server_viewOptiSector!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::~_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >
6,mt_iocp_server_viewoptisector.exe!D:\Projects\Programming\GameSeverStudy\2021_WF_STRESS\mt_iocp_server_viewOptiSector\st_iocp_server\x64\Debug\iocp_main.obj,39,3,0.10655737704918,0.00819672131147541,mt_iocp_server_viewOptiSector!D:\Projects\Programming\GameSeverStudy\2021_WF_STRESS\mt_iocp_server_viewOptiSector\st_iocp_server\x64\Debug\iocp_main.obj:iocp_main.cpp:246
7,mt_iocp_server_viewoptisector.exe!send_move_packet,28,0,0.0765027322404372,0,mt_iocp_server_viewOptiSector!send_move_packet:iocp_main.cpp:171
8,mt_iocp_server_viewoptisector.exe!send_packet,28,0,0.0765027322404372,0,mt_iocp_server_viewOptiSector!send_packet:iocp_main.cpp:75
9,ws2_32.dll!WSASend,28,0,0.0765027322404372,0,ws2_32!WSASend
